"FDC_ID","`data_type`","DESCRIPTION","`food_category_id`","portion_amount","serving","grams_per_serving","NUTRIENTS_PER_100G","DATA_POINTS","`nutrient`"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,24.0,"0","Folate, DFE"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.015,"0","Fatty acids, total saturated"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.41,"77","Iron, Fe"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,2.44,"16",Fructose
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.0,"12",Lactose
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,1.0,"6","Vitamin A, RAE"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.0,"0","Fatty acids, total trans"
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.0,"0",Cholesterol
"167762",sr_legacy_food,"Strawberries, raw","9",1.0,"cup, halves",152.0,0.0,"0",Vitamin D (D2 + D3)
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.61,"11",Protein
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.0,"4",Starch
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.4,"10","Fiber, total dietary"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.24,"45","Iron, Fe"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,10.0,"45","Magnesium, Mg"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,28.0,"0","Vitamin A, RAE"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,8.1,"6","Vitamin C, total ascorbic acid"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,7.0,"42","Calcium, Ca"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.1,"45","Zinc, Zn"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.05,"8",Vitamin E (alpha-tocopherol)
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.15,"10",Total lipid (fat)
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,7.55,"0","Carbohydrate, by difference"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,30.0,"0",Energy
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,1.21,"6",Sucrose
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,1.58,"8",Glucose (dextrose)
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,1.5,"11","Fluoride, F"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,3.0,"0","Folate, DFE"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.016,"0","Fatty acids, total saturated"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,3.36,"8",Fructose
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.0,"8",Lactose
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,112.0,"44","Potassium, K"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,1.0,"40","Sodium, Na"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.0,"0","Fatty acids, total trans"
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.0,"0",Cholesterol
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.0,"0",Caffeine
"167765",sr_legacy_food,"Watermelon, raw","9",1.0,"cup, balls",154.0,0.0,"0",Vitamin D (D2 + D3)
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.0,"0","Fatty acids, total trans"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,16.0,"50","Sodium, Na"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,267.0,"54","Potassium, K"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,1.0,"9","Fluoride, F"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,8.16,"0","Carbohydrate, by difference"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,34.0,"0",Energy
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,21.0,"0","Folate, DFE"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.051,"0","Fatty acids, total saturated"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.0,"0",Cholesterol
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.0,"0",Vitamin D (D2 + D3)
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,36.7,"10","Vitamin C, total ascorbic acid"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.9,"18","Fiber, total dietary"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.21,"54","Iron, Fe"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,12.0,"54","Magnesium, Mg"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,169.0,"0","Vitamin A, RAE"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.84,"17",Protein
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.03,"4",Starch
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,1.87,"14",Fructose
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.0,"8",Lactose
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,4.35,"14",Sucrose
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,1.54,"14",Glucose (dextrose)
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.0,"0",Caffeine
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,9.0,"54","Calcium, Ca"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.05,"11",Vitamin E (alpha-tocopherol)
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.18,"53","Zinc, Zn"
"169092",sr_legacy_food,"Melons, cantaloupe, raw","9",1.0,"cup, balls",177.0,0.19,"21",Total lipid (fat)
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,2.2,"5","Fiber, total dietary"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.13,"4","Iron, Fe"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,11.0,"8","Magnesium, Mg"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,1.0,"4","Sodium, Na"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.91,"8",Protein
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.0,"1",Starch
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,2.25,"9",Fructose
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.0,"9",Lactose
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,59.1,"8","Vitamin C, total ascorbic acid"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.15,"8",Total lipid (fat)
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,4.28,"9",Sucrose
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,1.97,"9",Glucose (dextrose)
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,43.0,"8","Calcium, Ca"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,166.0,"8","Potassium, K"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.08,"7","Zinc, Zn"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.15,"3",Vitamin E (alpha-tocopherol)
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,12.0,"7","Vitamin A, RAE"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.0,"0","Fatty acids, total trans"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.0,"0",Cholesterol
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,12.54,"0","Carbohydrate, by difference"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,49.0,"0",Energy
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,34.0,"0","Folate, DFE"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.017,"0","Fatty acids, total saturated"
"169917",sr_legacy_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","9",1.0,"cup sections, without membranes",165.0,0.0,"0",Vitamin D (D2 + D3)
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,5.0,"0","Folate, DFE"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,11.42,"0","Carbohydrate, by difference"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,46.0,"0",Energy
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.017,"0","Fatty acids, total saturated"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.0,"4",Starch
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.0,"37","Sodium, Na"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,157.0,"41","Potassium, K"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,2.0,"9","Fluoride, F"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.0,"0","Fatty acids, total trans"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.0,"0",Cholesterol
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,9.5,"5","Vitamin C, total ascorbic acid"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.0,"0",Vitamin D (D2 + D3)
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.7,"9",Protein
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,3.07,"8",Fructose
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.0,"8",Lactose
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,1.4,"7","Fiber, total dietary"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.17,"44","Iron, Fe"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,7.0,"44","Magnesium, Mg"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,17.0,"7","Vitamin A, RAE"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,1.57,"8",Sucrose
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,5.07,"8",Glucose (dextrose)
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.0,"0",Caffeine
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,6.0,"39","Calcium, Ca"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.1,"44","Zinc, Zn"
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.28,"10",Total lipid (fat)
"169949",sr_legacy_food,"Plums, raw","9",1.0,"cup, sliced",165.0,0.26,"5",Vitamin E (alpha-tocopherol)
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.0,"0","Fatty acids, total trans"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,14.0,"0",Energy
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.042,"0","Fatty acids, total saturated"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,3.1,"8","Vitamin C, total ascorbic acid"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,2.97,"0","Carbohydrate, by difference"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,4.0,"9","Fluoride, F"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.0,"1",Starch
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.0,"8",Lactose
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.17,"15",Total lipid (fat)
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.37,"15",Fructose
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.08,"15",Sucrose
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.4,"15",Glucose (dextrose)
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.0,"0",Cholesterol
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,40.0,"55","Calcium, Ca"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.0,"0",Caffeine
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.13,"55","Zinc, Zn"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.27,"13",Vitamin E (alpha-tocopherol)
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,11.0,"56","Magnesium, Mg"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,22.0,"0","Vitamin A, RAE"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,36.0,"0","Folate, DFE"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,80.0,"56","Sodium, Na"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,1.6,"8","Fiber, total dietary"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.2,"56","Iron, Fe"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.69,"8",Protein
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,260.0,"56","Potassium, K"
"169988",sr_legacy_food,"Celery, raw","11",1.0,cup chopped,101.0,0.0,"0",Vitamin D (D2 + D3)
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,8.6,"5",Total lipid (fat)
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,31.78,"0","Carbohydrate, by difference"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,256.0,"0",Energy
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,0.0,"5",Sucrose
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,1.7,"5",Glucose (dextrose)
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,192.0,"5","Calcium, Ca"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,196.0,"5","Potassium, K"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,1.56,"5","Zinc, Zn"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,0.89,"5",Vitamin E (alpha-tocopherol)
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,12.8,"5",Protein
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,24.72,"5",Starch
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,2.36,"5",Fructose
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,0.0,"5",Lactose
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,2.4,"2","Fiber, total dietary"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,0.77,"5","Iron, Fe"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,27.0,"5","Magnesium, Mg"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,696.0,"5","Sodium, Na"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,46.0,"0","Vitamin A, RAE"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,1.5,"1","Vitamin C, total ascorbic acid"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,15.0,"3",Cholesterol
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,0.172,"0","Fatty acids, total trans"
"170362",sr_legacy_food,"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked","21",1.0,slice 1/4 of pie,183.0,3.514,"0","Fatty acids, total saturated"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.0,"0","Fatty acids, total trans"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.114,"0","Fatty acids, total saturated"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.0,"1",Starch
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,6.64,"0","Carbohydrate, by difference"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,34.0,"0",Energy
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.37,"29",Total lipid (fat)
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.1,"16",Sucrose
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.49,"18",Glucose (dextrose)
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,47.0,"33","Calcium, Ca"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,316.0,"37","Potassium, K"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.41,"33","Zinc, Zn"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.78,"12",Vitamin E (alpha-tocopherol)
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.68,"17",Fructose
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.21,"9",Lactose
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,2.82,"23",Protein
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,2.6,"13","Fiber, total dietary"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.73,"33","Iron, Fe"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,21.0,"33","Magnesium, Mg"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,33.0,"42","Sodium, Na"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,89.2,"19","Vitamin C, total ascorbic acid"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.0,"0",Cholesterol
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,63.0,"0","Folate, DFE"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,31.0,"0","Vitamin A, RAE"
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.0,"0",Caffeine
"170379",sr_legacy_food,"Broccoli, raw","11",1.0,cup chopped,91.0,0.0,"0",Vitamin D (D2 + D3)
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.032,"0","Fatty acids, total saturated"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.3,"75","Iron, Fe"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,12.0,"75","Magnesium, Mg"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,69.0,"81","Sodium, Na"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,5.9,"21","Vitamin C, total ascorbic acid"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.93,"19",Protein
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,1.43,"2",Starch
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.55,"11",Fructose
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.0,"5",Lactose
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.66,"11",Vitamin E (alpha-tocopherol)
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.24,"26",Total lipid (fat)
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,3.59,"11",Sucrose
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.59,"11",Glucose (dextrose)
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,33.0,"75","Calcium, Ca"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,320.0,"76","Potassium, K"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.24,"76","Zinc, Zn"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,3.2,"21","Fluoride, F"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.0,"0",Cholesterol
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.0,"0",Caffeine
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,9.58,"0","Carbohydrate, by difference"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,41.0,"0",Energy
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,19.0,"0","Folate, DFE"
"170393",sr_legacy_food,"Carrots, raw","11",1.0,cup chopped,128.0,0.0,"0","Fatty acids, total trans"
